       PADS LIBRARY (RES Part Types) DIRECTORY LISTING


Library: RES
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Part Name                              |CCC P/N |VALUE  |MFG #1                    |MFG #1 P/N         |PCB Decal           |DESCRIPTION                                                          |MFG #2    |MFG #2 P/N       |ROHS |TOLERANCE |POWER RATING |PACKAGE                                                            |HEIGHT 
|RES-348K-R0603-ERJ-3EKF3241V           |        |348K   |PANASONIC - ECG           |ERJ-3EKF3483V      |R0603               |RESISTOR,348K,0.1,1%,R0603                                           |NA        |NA               |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-3K-R0805-RC0805FR-073KL            |        |3K     |YAGEO                     |RC0805FR-073KL     |R0805               |RESISTOR,3K,0.125,1%,R0805                                           |KOA SPEER |RK73H2ATTD3001F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-4.22K-R0805-RC0805FR-074K22L       |        |4.22K  |YAGEO                     |RC0805FR-074K22L   |R0805               |RESISTOR,4.22K,0.125,1%,R0805                                        |KOA SPEER |RK73H2ATTD4221F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-4.3K-R0805-ESR10EZPJ432            |        |4.3K   |ROHM SEMICONDUCTOR        |ESR10EZPJ432       |R0805               |RESISTOR,4.3K,0.25,5%,R0805                                          |NA        |NA               |Yes  |5%        |0.25         |R0805                                                              |0.65mm 
|RES-4.7E-R1206-RC1206JR-074R7L         |        |4.7E   |YAGEO                     |RC1206JR-074R7L    |R1206               |RESISTOR,4.7E,0.25,5%,R1206                                          |KOA SPEER |RK73H2BTTD4R70F  |Yes  |5%        |0.25         |R1206                                                              |0.65mm 
|RES-4.7K-R0402-ERJ-2RKF4701X           |        |4.7K   |PANASONIC - ECG           |ERJ-2RKF4701X      |R0402               |RESISTOR,4.7K,0.1,1%,R0402                                           |NA        |NA               |Yes  |1%        |0.1          |R0402                                                              |0.40mm 
|RES-4.7K-R0603-RC0603FR-074K7L         |        |4.7K   |YAGEO                     |RC0603FR-074K7L    |R0603               |RESISTOR,4.7K,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD4701F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-4.7K-R0805-RC0805FR-074K7L         |        |4.7K   |YAGEO                     |RC0805FR-074K7L    |R0805               |RESISTOR,4.7K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTDD4701F |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-4.7K-YC124-JR-074K7L               |        |4.7K   |YAGEO                     |YC124-JR-074K7L    |RESC_CRA12E847KCTND |RESISTOR,ARRAY,4.7K,4 RES,R0804                                      |NA        |NA               |YES  |5%        |             |R0804                                                              |0.45mm 
|RES-4.99E-R0603-RC0603FR-074R99L       |        |4.99E  |VISHAY                    |CRCW06034R99FKEA   |R0603               |RESISTOR,4.99E,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD4R99F  |Yes  |1%        |0.1          |R0603                                                              |0.50mm 
|RES-4.99K-R0603-RC0603FR-074K99L       |        |4.99K  |YAGEO                     |RC0603FR-074K99L   |R0603               |RESISTOR,4.99K,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD4991F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-4.99K-R0805-RC0805FR-074K99L       |        |4.99K  |YAGEO                     |RC0805FR-074K99L   |R0805               |RESISTOR,4.99K,0.125,1%,R0805                                        |KOA SPEER |RK73H2ATTE4991F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-40.2E-R0603-RC0603FR-0740R2L       |        |40.2E  |YAGEO                     |RC0603FR-0740R2L   |R0603               |RESISTOR,40.2E,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD40R2F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-430E-R0603-RC0603FR-07430RL        |        |430E   |YAGEO                     |RC0603FR-07430RL   |R0603               |RESISTOR,430E,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD4300F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-470E-R0603-RC0603FR-07470RL        |        |470E   |YAGEO                     |RC0603FR-07470RL   |R0603               |RESISTOR,470E,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD4700F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-470E-R0805-ESR10EZPJ471            |        |470E   |ROHM SEMICONDUCTOR        |ESR10EZPJ471       |R0805               |RESISTOR,470E,0.25,5%,R0805                                          |NA        |NA               |Yes  |5%        |0.25         |R0805                                                              |0.65mm 
|RES-470E-R0805-RC0805JR-07470RL        |        |470E   |YAGEO                     |RC0805JR-07470RL   |R0805               |RESISTOR,470E,0.125,5%,R0805                                         |KOA SPEER |RK73H2ATTD4700F  |Yes  |5%        |0.125        |R0805                                                              |0.60mm 
|RES-470K-R0805-RC0805FR-07470KL        |        |470K   |YAGEO                     |RC0805FR-07470KL   |R0805               |RESISTOR,470K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD4703F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-475E-R0603-RC0603FR-07475RL        |        |475E   |YAGEO                     |RC0603FR-07475RL   |R0603               |RESISTOR,475E,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD4750F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-47E-R0603-RC0603JR-0747RL          |        |47E    |YAGEO                     |RC0603JR-0747RL    |R0603               |RESISTOR,47E,0.1,5%,R0603                                            |KOA SPEER |RK73H1JTTD47R0F  |Yes  |5%        |0.1          |R0603                                                              |0.55mm 
|RES-47E-R0805-RC0805FR-0747RL          |        |47E    |YAGEO                     |RC0805FR-0747RL    |R0805               |RESISTOR,47E,0.125,1%,R0805                                          |KOA SPEER |RK73H2ATTD47R0F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-47K-R0603-RC0603FR-0747KL          |        |47K    |YAGEO                     |RC0603FR-0747KL    |R0603               |RESISTOR,47K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD4702F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-49.9E-R0402-ERJ-2RKF49R9X          |        |49.9E  |PANASONIC - ECG           |ERJ-2RKF49R9X      |R0402               |RESISTOR,49.9E,0.1,1%,R0402                                          |NA        |NA               |Yes  |1%        |0.1          |R0402                                                              |0.40mm 
|RES-49.9E-R0603-RC0603FR-0749R9L       |        |49.9E  |YAGEO                     |RC0603FR-0749R9L   |R0603               |RESISTOR,49.9E,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD49R9F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-49.9E-R0805-RT0805DRE0749R9L       |        |49.9E  |YAGEO                     |RT0805DRE0749R9L   |R0805               |RESISTOR,49.9E,0.125,0.5%,R0805                                      |NA        |NA               |Yes  |0.5%      |0.125        |R0805                                                              |0.60mm 
|RES-49.9K-R0805-RC0805FR-0749K9L       |        |49.9K  |YAGEO                     |RC0805FR-0749K9L   |R0805               |RESISTOR,49.9K,0.125,1%,R0805                                        |KOA SPEER |RK73H2ATTD4992F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-499E-R0603-RC0603FR-07499RL        |        |499E   |YAGEO                     |RC0603FR-07499RL   |R0603               |RESISTOR,499E,0.1,1%,R0603                                           |KOA SPEER |RK73H1JTTD4990F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-5.11K-R0603-ERA-3AEB5111V          |        |5.11K  |PANASONIC - ECG           |ERA-3AEB5111V      |R0603               |RESISTOR,5.11K,0.1,0.1%,R0603                                        |NA        |NA               |Yes  |0.1%      |0.1          |R0603                                                              |0.55mm 
|RES-5.1K-R0603-RC0603JR-075K1L         |        |5.1K   |YAGEO                     |RC0603JR-075K1L    |R0603               |RESISTOR,5.1K,0.1,5%,R0603                                           |KOA SPEER |RK73H1JTTD5101F  |Yes  |5%        |0.1          |R0603                                                              |0.55mm 
|RES-5.1K-R0805-RC0805FR-075K1L         |        |5.1K   |YAGEO                     |RC0805FR-075K1L    |R0805               |RESISTOR,5.1K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD5101F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-500E-R1206-PLT1206Z5000AST5        |        |500E   |VISHAY                    |PLT1206Z5000AST5   |R1206               |RESISTOR,500E,0.4,0.05%,R1206                                        |NA        |NA               |Yes  |0.05%     |0.4          |R1206                                                              |0.70mm 
|RES-51E-R0603-RC0603FR-0751RL          |        |51E    |YAGEO                     |RC0603FR-0751RL    |R0603               |RESISTOR,51E,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD51R0F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-51E-R0805-ESR10EZPJ510             |        |51E    |ROHM SEMICONDUCTOR        |ESR10EZPJ510       |R0805               |RESISTOR,51E,0.25,5%,R0805                                           |NA        |NA               |Yes  |5%        |0.25         |R0805                                                              |0.65mm 
|RES-54.9K-R0603-RC0603FR-0754K9L       |        |54.9K  |YAGEO                     |RC0603FR-0754K9L   |R0603               |RESISTOR,54.9K,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD5492F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-59K-R0805-RC0805FR-0759KL          |        |59K    |YAGEO                     |RC0805FR-0759KL    |R0805               |RESISTOR,59K,0.125,1%,R0805                                          |KOA SPEER |RK73H2ATTD5902F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-6.2K-R0805-RC0805FR-076K2L         |        |6.2K   |YAGEO                     |RC0805FR-076K2L    |R0805               |RESISTOR,6.2K,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD6201F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-6.49K-R0603-ERJ-3EKF6491V          |        |6.49K  |PANASONIC - ECG           |ERJ-3EKF6491V      |R0603               |RESISTOR,6.49K,0.1,1%,R0603                                          |KOA SPEER |RK73H1JTTD6491F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-6.49K-R0805-RC0805FR-076K49L       |        |6.49K  |YAGEO                     |RC0805FR-076K49L   |R0805               |RESISTOR,6.49K,0.125,1%,R0805                                        |KOA SPEER |RK73H2ATTD6491F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-64.2K-R0805-CRCW08056422DT         |        |64.2K  |VISHAY                    |CRCW08056422DT     |R0805               |RESISTOR,64.2K,0.125,0.5%,R0805                                      |NA        |NA               |Yes  |0.5%      |0.125        |R0805                                                              |0.65mm 
|RES-68K-R0603-ERJ-3EKF6802V            |        |68K    |PANASONIC - ECG           |ERJ-3EKF6802V      |R0603               |RESISTOR,68K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD6802F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-7.5K-R0805-RR1220P-752-D           |        |7.5K   |SUSUMU                    |RR1220P-752-D      |R0805               |RESISTOR,7.5K,0.1,0.5%,R0805                                         |NA        |NA               |Yes  |0.5%      |0.1          |R0805                                                              |0.50mm 
|RES-75E-R0603-RC0603JR-0775RL          |        |75E    |YAGEO                     |RC0603JR-0775RL    |R0603               |RESISTOR,75E,0.1,5%,R0603                                            |KOA SPEER |RK73H1JTTD75R0F  |Yes  |5%        |0.1          |R0603                                                              |0.55mm 
|RES-75E-R0805-CRCW080575R0FKEA         |        |75E    |VISHAY                    |CRCW080575R0FKEA   |R0805               |RESISTOR,75E,0.125,1%,R0805                                          |KOA SPEER |RK73H2ATTD75R0F  |Yes  |1%        |0.125        |R0805                                                              |0.65mm 
|RES-75K-R0603-RC0603FR-0775KL          |        |75K    |YAGEO                     |RC0603FR-0775KL    |R0603               |RESISTOR,75K,0.1,1%,R0603                                            |KOA SPEER |RK73H1JTTD7502F  |Yes  |1%        |0.1          |R0603                                                              |0.55mm 
|RES-820E-R0603-RC0603JR-07820RL        |        |820E   |YAGEO                     |RC0603JR-07820RL   |R0603               |RESISTOR,820E,0.1,5%,R0603                                           |KOA SPEER |RK73H1JTTD8200F  |Yes  |5%        |0.1          |R0603                                                              |0.55mm 
|RES-820E-R0805-RC0805FR-07820RL        |        |820E   |YAGEO                     |RC0805FR-07820RL   |R0805               |RESISTOR,820E,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD8200F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
|RES-866E-R0805-RC0805FR-07866RL        |        |866E   |YAGEO                     |RC0805FR-07866RL   |R0805               |RESISTOR,866E,0.125,1%,R0805                                         |KOA SPEER |RK73H2ATTD8660F  |Yes  |1%        |0.125        |R0805                                                              |0.60mm 
