       PADS LIBRARY (IC Part Types) DIRECTORY LISTING


Library: IC
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Part Name                                |CCC P/N       |VALUE             |MFG #1                     |MFG #1 P/N              |PCB Decal                      |DESCRIPTION                                            |ROHS |DISTRIBUTOR P/N              |Logic Decal                                                                                                                                                               |DISTRIBUTOR |PACKAGE                         
|IC-HOTSWAP-20-QFN-LTC4227IUFD-1#PBF      |              |HOTSWAP           |LINEAR TECHNOLOGY          |LTC4227IUFD-1#PBF       |LT4227                         |HOT SWAP CONTROLLER,20-QFN                             |Yes  |LTC4227IUFD-1#PBF-ND         |IC_LT4227_20QFN                                                                                                                                                           |            |20-QFN                          
|IC-HOTSWAP-8-SOIC-LT1641-1IS8#PBF        |              |HOTSWAP           |LINEAR TECHNOLOGY          |LT1641-1IS8#PBF         |SO8                            |HOTSWAP CONTROLLER,POSVOLT,8SOIC                       |Yes  |LT1641-1IS8#PBF-ND           |IC_LT1641-1                                                                                                                                                               |            |8-SOIC                          
|IC-I/O-EXPANDER-24-VFQFN-PCA9555BS#      |              |I/O EXPANDER      |NXP SEMICONDUCTORS         |PCA9555BS,118           |QFN50P400X400X75-25N           |I/O EXPANDER I2C-BUS 16BIT WITH INTERRUPT              |Yes  |568-2382-1-ND                |IC_PCA9555BS,118                                                                                                                                                          |            |24HVFQFN                        
|IC-I/OEXPANDER-16-HVQFN-PCA9557BS#       |              |I/OEXPANDER       |NXP SEMICONDUCTORS         |PCA9557BS,118           |16-HVQFN                       |I/O EXPANDER,I2C,8B,16HVQFN                            |Yes  |568-3398-1-ND                |IC_PCA9557BS,118                                                                                                                                                          |            |16-HVQFN                        
|IC-INVERTER-8-VFSOP-NC7WZ240K8X          |              |INVERTER          |FAIRCHILD SEMICONDUCTOR    |NC7WZ240K8X             |US8                            |INVERTER DUAL 4-INPUT                                  |Yes  |NC7WZ240K8XTR-ND             |IC_NC7WZ240K8X                                                                                                                                                            |            |8-VFSOP                         
|IC-INVERTER-SOT-23-5-SN74LVC1G04DBVR     |              |INVERTER          |TEXAS INSTRUMENTS          |SN74LVC1G04DBVR         |SOT23_5                        |SINGLE INVERTER-GATE SOT-23-5                          |Yes  |296-11599-2-ND               |IC_SN74LVC1G04DBVR                                                                                                                                                        |            |SOT-23-5                        
|IC-INVERTER-SOT-553-SN74AHC1G04DRLR      |              |INVERTER          |TEXAS INSTRUMENTS          |SN74AHC1G04DRLR         |SOT_553_5P                     |INVERTER,SINGLE,SOT-553                                |Yes  |296-19375-1-ND               |IC_SN74AHC1G04DRLR                                                                                                                                                        |            |SOT-553                         
|IC-INVERTER-SSOP-20-SN74ABT540DBR        |              |INVERTER          |TEXAS INSTRUMENTS          |SN74ABT540DBR           |SSOP63P600X160-20N             |INVERTER,8-INPUT,20-SSOP                               |Yes  |296-4022-1-ND                |IC_SN74ABT540DBR                                                                                                                                                          |            |SSOP-20                         
|IC-ISOLATOR-16-SOIC-ADUM1400CRWZ-RL      |              |ISOLATOR          |ANALOG DEVICES             |ADUM1400CRWZ-RL         |SOIC127P1032X265-16N           |DGITAL,ISOLATOR,4CH,16-SOIC                            |Yes  |ADUM1400CRWZ-RLCT-ND         |IC_ADUM1400                                                                                                                                                               |            |16-SOIC                         
|IC-ISOLATOR-8-SOIC-ADUM1250ARZ           |              |ISOLATOR          |ANALOG DEVICES             |ADUM1250ARZ             |SOIC127P517X175-8              |ISOLATOR,1MBPS,4CH,2.5K,8SOIC                          |Yes  |ADUM1250ARZ-ND               |IC_ADUM1250ARZ                                                                                                                                                            |            |8-SOIC                          
|IC-ISOLATOR-8-SOIC-ADUM3210BRZ-RL7       |              |ISOLATOR          |ANALOG DEVICES             |ADUM3210BRZ-RL7         |SO8                            |DIGITAL ISOLATOR,2CH,8-SOIC                            |Yes  |ADUM3210BRZ-RL7              |IC_ADUM3210BRZ-RL7                                                                                                                                                        |            |8-SOIC                          
|IC-ISOLATOR-8-SOIC-ADUM3211BRZ           |              |ISOLATOR          |ANALOG DEVICES             |ADUM3211BRZ             |SO8                            |DIGITAL ISOLATOR,2.5KVRMS,2CH,8SOIC                    |Yes  |ADUM3211BRZ-ND               |IC_ADUM3211BRZ                                                                                                                                                            |            |8-SOIC                          
|IC-LATCH-TRANSP-20-TSSOP-MC74LCX373DTG   |              |LATCH TRANSP      |ON SEMICONDUCTOR           |MC74LCX373DTG           |TSSOP65P640X120-20N            |LATCH TRANSP OCT LV 20-TSSOP                           |Yes  |MC74LCX373DTR2G-ND           |IC_MC74LCX373                                                                                                                                                             |            |20-TSSOP                        
|IC-MCU-208MAPBGA-MPC5534MVZ80            |              |MCU               |FREESCALE                  |MPC5534MVZ80            |PBGA_324P_1MM                  |MCU,1MB,FLASH,80MHZ,208MAPBGA                          |Yes  |MPC5534MVZ80                 |IC_MPC5534MVZ80A, IC_MPC5534MVZ80B                                                                                                                                        |            |208MAPBGA                       
|IC-MODEM-20-TQFN-DS8500-JND+             |              |MODEM             |MAXIM INTEGRATED PRODUCTS  |DS8500-JND+             |QFN65P500X500X80-21N           |MODEM HART SGL,3.6V,20-TQFN                            |Yes  |DS8500-JND+-ND               |IC_DS8500-JND+                                                                                                                                                            |            |20-TQFN                         
|IC-MPU-689-BGA-P1021NXN2HFB              |              |MPU               |FREESCALE                  |P1021NXN2HFB            |BGA689C100P29X29_3100X3100X250 |MPU 800MHZ 689-TEPBGA2                                 |Yes  |P1021NXN2HFB-ND              |IC_P1021NXN2HFB-A, IC_P1021NXN2HFB-B, IC_P1021NXN2HFB-C, IC_P1021NXN2HFB-D, IC_P1021NXN2HFB-E, IC_P1021NXN2HFB-F, IC_P1021NXN2HFB-G, IC_P1021NXN2HFB-H, IC_P1021NXN2HFB-I |            |689-BGA                         
|IC-MUX-16-SOIC-ADG774BRZ                 |              |MUX               |ANALOG DEVICES             |ADG774BRZ               |SOIC127P600X165-16N            |MUX/DEMUX,QUAD,2X1,16SOIC                              |Yes  |ADG774BRZ-ND                 |IC_ADG774BRZ                                                                                                                                                              |            |16-SOIC                         
|IC-MUX-16SOIC-ADG508AKRZ                 |              |MUX               |ANALOG DEVICES             |ADG508AKRZ              |SOIC127P5165X175-16            |MULTIPLEXER,8X1,16SOIC                                 |Yes  |ADG508AKRZ-ND                |IC_ADG508AKRZ                                                                                                                                                             |            |16SOIC                          
|IC-MUX-16TSSOP-ADG1208YRUZ               |              |MUX               |ANALOG DEVICES             |ADG1208YRUZ             |ADG1208                        |MULTIPLEXER,8X1,16TSSOP                                |Yes  |ADG1208YRUZ-ND               |IC_ADG1208YRUZ                                                                                                                                                            |            |16TSSOP                         
|IC-MUX-28TSSOP-ADG1407BRUZ               |              |MUX               |ANALOG DEVICES             |ADG1407BRUZ             |SOP65P640X120-28N              |MULTIPLEXER,8X1,28TSSOP                                |Yes  |ADG1407BRUZ-ND               |IC_ADG1407                                                                                                                                                                |            |28TSSOP                         
|IC-NAND-FLASH-48-TSOP-K9F1G08U0D-SIB0    |              |NAND FLASH        |SAMSUNG                    |K9F1G08U0D-SIB0         |TSOP50P2000X120-48N_SOCKET     |1GB NAND FLASH                                         |Yes  |NA                           |IC_K9F1G08U0D-SIB0                                                                                                                                                        |            |48-TSOP                         
|IC-NORGATE-14-TSSOP-74LCX02MTCX          |              |NORGATE           |FAIRCHILD SEMICONDUCTOR    |74LCX02MTCX             |TSSOP65P640X110-14N            |GATE,NOR,QUAD,2INP,LV,14TSSOP                          |Yes  |74LCX02MTCXCT-ND             |IC_74LCX02MTCX                                                                                                                                                            |            |14-TSSOP                        
|IC-OPAMP-8-MSOP-AD822ARMZ-REEL           |              |OPAMP             |ANALOG DEVICES             |AD822ARMZ-REEL          |MSOP_8P_0.65                   |OP AMP,AD822,FET,2,RAIL/RAIL,8MSOP                     |Yes  |AD822ARMZ-REELTR-ND          |IC_AD822ARMZ-A1, IC_AD822ARMZ-A2, IC_AD822ARMZ-B1, IC_AD822ARMZ-B2, IC_AD822ARMZ-C                                                                                        |            |8-MSOP                          
|IC-OPAMP-8-SOIC-AD627ARZ                 |40-200330-627 |OPAMP             |ANALOG DEVICES             |AD627ARZ                |SO8                            |OP AMP,AD627,INSTRMT AMP                               |Yes  |AD627ARZ-R7CT-ND             |IC_AD627ARZ                                                                                                                                                               |            |8-SOIC                          
|IC-OPAMP-8-SOIC-AD629ARZ                 |40-200330-629 |OPAMP             |ANALOG DEVICES             |AD629ARZ                |SOIC127P517X175-8              |OP AMP,AD629,HI COM,MD,DIFF AMP                        |Yes  |AD629ARZ-ND                  |IC_AD629ARZ                                                                                                                                                               |            |8-SOIC                          
|IC-OPAMP-8-SOIC-AD8675ARZ                |              |OPAMP             |ANALOG DEVICES             |AD8675ARZ               |SO8                            |OP AMP,GP,R-R,10MHZ PREC,8SOIC                         |Yes  |AD8675ARZ-ND                 |IC_AD8675ARZ                                                                                                                                                              |            |8-SOIC                          
|IC-OPAMP-8-SOIC-OP249GSZ                 |              |OPAMP             |ANALOG DEVICES             |OP249GSZ                |SOIC127P517X175-8              |OP AMP,OP249,DUAL,JFET,FAST,18V,8SOIC                  |Yes  |OP249GSZ-ND                  |IC_OP249GSZ, IC_OP249GSZ-B                                                                                                                                                |            |8-SOIC                          
|IC-OPAMP-8-SOIC-OPA2209AIDR              |              |OPAMP             |TEXAS INSTRUMENTS          |OPA2209AIDR             |SOIC127P600X175-8N             |OPAMP,GP,R-R,18MHZ,8-SOIC                              |Yes  |296-27783-1-ND               |IC_OPA2209AIDR-A, IC_OPA2209AIDR-B, IC_OPA2209AIDR-C                                                                                                                      |            |8-SOIC                          
|IC-OPAMP-8-UMAX-MAX4040EUA+              |              |OPAMP             |MAXIM INTEGRATED PRODUCTS  |MAX4040EUA+             |SOP65P437X110-8                |OP AMP,R-R SNGL,8-UMAX                                 |Yes  |MAX4040EUA+-ND               |IC_MAX4040EUA+                                                                                                                                                            |            |8-UMAX                          
|IC-OPAMP-SOT23-5-OPA171AIDBVT            |              |OPAMP             |TEXAS INSTRUMENTS          |OPA171AIDBVT            |OPA171A                        |OPAMP,GP RRO,3MHZ LP,SOT23-5                           |Yes  |296-28052-1-ND               |IC_OPA171AIDBVT                                                                                                                                                           |            |SOT23-5                         
|IC-OPTOISOLATOR-4-SOP-PS2701-1-P-A       |              |OPTOISOLATOR      |CEL                        |PS2701-1-P-A            |SML-4                          |OPTOISOLATOR,1CH,TRANS,OUT,4-SOP                       |Yes  |PS2701-1-P-A-ND              |IC_PS2701-1-P-A                                                                                                                                                           |            |4-SOP                           
|IC-OPTOISOLATOR-SOP-4-PS2705A-1-F3-A     |              |OPTOISOLATOR      |CEL                        |PS2705A-1-F3-A          |SML-4                          |OPTOISOLATOR,1CH,TRANS OUT,4-SOP                       |Yes  |PS2705A-1TR- ND              |IC_PS2705A-1-F3-A                                                                                                                                                         |            |SOP-4                           
|IC-ORGATE-SC70-5-SN74LVC1G32DCKR         |              |ORGATE            |TEXAS INSTRUMENTS          |SN74LVC1G32DCKR         |SOT_553_5P                     |74LVC1G32,POSITIVE-OR,GATE,2-IN,SC-70                  |Yes  |296-9848-1-ND                |IC_SN74LVC1G32DCKR                                                                                                                                                        |            |SC70-5                          
|IC-ORGATE-SOT-553-SN74LVC1G32DRLR        |              |ORGATE            |TEXAS INSTRUMENTS          |SN74LVC1G32DRLR         |SOT_553_5P                     |74LVC1G32,POSITIVE-OR GATE 2-IN,SOT-553                |Yes  |296-18016-1-ND               |IC_SN74LVC1G32DRLR                                                                                                                                                        |            |SOT-553                         
