Item	Qty	Reference	 Part  Name 	Manufacturer	Description	 MFG  P/N 	 CCC  P/N 	VALUE
255	1	U7	IC-EEPROM-8TSSOP-CAT25160YI-G	 ON  SEMICONDUCTOR 	EEPROM,16KBIT,10MHZ,8TSSOP	CAT25160YI-G		EEPROM
256	1	U15	IC-ETHERCATCNTRLR-BGA128-ET1100	BECKHOFF	 ETHERCAT  SLAVE  CONTROLLER 	ET1100		ETHERCATCNTRLR
257	1	U19	IC-ETHERCATCNTRLR-BGA128-ET1100	BECKHOFF	 ETHERCAT  SLAVE  CONTROLLER 	ET1100		ETHERCATCNTRLR
258	1	U10	IC-FLASH-BGA-48-S29AL008J70BFI02	SPANSION	 FLASH,8MB,CMOS,3.0V,70ns,BTM  SECTOR,PBF 	S29AL008J70BFI02		FLASH
259	1	U31	IC-INVERTER-SOT-553-SN74AHC1G04DRLR	 TEXAS  INSTRUMENTS 	INVERTER,SINGLE,SOT-553	SN74AHC1G04DRLR		INVERTER
260	1	U1	IC-MCU-208MAPBGA-MPC5534MVZ80	FREESCALE	MCU,1MB,FLASH,80MHZ,208MAPBGA	MPC5534MVZ80		MCU
261	1	U20	IC-OPAMP-8-MSOP-AD822ARMZ-REEL	 ANALOG  DEVICES 	 OP  AMP,AD822,FET,2,RAIL/RAIL,8MSOP 	AD822ARMZ-REEL		OPAMP
262	1	U21	IC-OPAMP-8-MSOP-AD822ARMZ-REEL	 ANALOG  DEVICES 	 OP  AMP,AD822,FET,2,RAIL/RAIL,8MSOP 	AD822ARMZ-REEL		OPAMP
263	1	U24	IC-OPAMP-8-MSOP-AD822ARMZ-REEL	 ANALOG  DEVICES 	 OP  AMP,AD822,FET,2,RAIL/RAIL,8MSOP 	AD822ARMZ-REEL		OPAMP
264	1	U25	IC-OPAMP-8-MSOP-AD822ARMZ-REEL	 ANALOG  DEVICES 	 OP  AMP,AD822,FET,2,RAIL/RAIL,8MSOP 	AD822ARMZ-REEL		OPAMP
265	1	U29	IC-ORGATE-SOT-553-SN74LVC1G32DRLR	 TEXAS  INSTRUMENTS 	 74LVC1G32,POSITIVE-OR  GATE  2-IN,SOT-553 	SN74LVC1G32DRLR		ORGATE
266	1	U14	IC-RAM-48FBGA-MR4A16BCMA35	EVERSPIN	MRAM,16MBIT,35NS,48FBGA	MR4A16BCMA35		RAM
267	1	U11	IC-RAM-48LFBGA-CY7C1051DV33-10BAXI	 CYPRESS  SEMICONDUCTOR 	SRAM,8MBIT,10NS,48LFBGA	CY7C1051DV33-10BAXI		RAM
268	1	U2	IC-REGULATOR-32-SOIC-MCZ33730EKR2	FREESCALE	REGULATOR,BUCK,QUAD,PROG,3.5A,32SOIC	MCZ33730EKR2		REGULATOR
269	1	U6	IC-RS422/485-TRNSCVR-8-SOIC-ADM3490ARZ	 ANALOG  DEVICES 	TRANSCEIVER,TXRX,RS-422/485,3.3V,8-SOIC	ADM3490ARZ		 RS422/485  TRNSCVR 
270	1	U5	IC-SENSOR-8-SOIC-TMP36FSZ	 ANALOG  DEVICES 	 TEMP  SENSOR,TMP36,LOW  VOLTAGE 	TMP36FSZ	40-000300-005	SENSOR
271	1	U28	IC-TIMER-10MSOP-LTC2918IMS-B1#PBF	 LINEAR  TECHNOLOGY 	SUPERVISOR,W/TIMER,10MSOP	LTC2918IMS-B1#PBF		TIMER
272	1	U12	IC-TRNSCVR-20-TSSOP-SN74LVTH245APWR	 TEXAS  INSTRUMENTS 	 IC  BUS  TRANSCEIVER  8BIT  20TSSOP 	SN74LVTH245APWR		TRNSCVR
273	1	U18	IC-TRNSCVR-20-TSSOP-SN74LVTH245APWR	 TEXAS  INSTRUMENTS 	 IC  BUS  TRANSCEIVER  8BIT  20TSSOP 	SN74LVTH245APWR		TRNSCVR
274	1	U26	IC-TRNSCVR-20-TSSOP-SN74LVTH245APWR	 TEXAS  INSTRUMENTS 	 IC  BUS  TRANSCEIVER  8BIT  20TSSOP 	SN74LVTH245APWR		TRNSCVR
275	1	U27	IC-TRNSCVR-20-TSSOP-SN74LVTH245APWR	 TEXAS  INSTRUMENTS 	 IC  BUS  TRANSCEIVER  8BIT  20TSSOP 	SN74LVTH245APWR		TRNSCVR
276	1	U83	IC-TRNSCVR-20-TSSOP-SN74LVTH245APWR	 TEXAS  INSTRUMENTS 	 IC  BUS  TRANSCEIVER  8BIT  20TSSOP 	SN74LVTH245APWR		TRNSCVR
277	1	L4	IND-IHLP2020BZER3R3M01	VISHAY	INDUCTOR,POWER,3.3UH,3.3A,SMD	IHLP2020BZER3R3M01		3.3uH
278	1	L2	IND-IHLP2525CZER100M01	VISHAY	INDUCTOR,POWER,10UH,3A,SMD	IHLP2525CZER100M01		10uH
279	1	L5	IND-IHLP2525CZER100M01	VISHAY	INDUCTOR,POWER,10UH,3A,SMD	IHLP2525CZER100M01		10uH
280	1	L3	IND-IHLP3232DZER220M11	VISHAY	INDUCTOR,POWER,22UH,4.3A,SMD	IHLP3232DZER220M11		22uH
281	1	L1	IND-IMC1210ER100K	VISHAY	INDUCTOR,WW,10UH,0.189A,1210	IMC1210ER100K		10uH
282	1	FD2	MEC-FD-#	NA	FIDUCIAL	NA		FIDUCIAL
283	1	FD3	MEC-FD-#	NA	FIDUCIAL	NA		FIDUCIAL
284	1	FD4	MEC-FD-#	NA	FIDUCIAL	NA		FIDUCIAL
285	1	FD5	MEC-FD-#	NA	FIDUCIAL	NA		FIDUCIAL
286	1	FD6	MEC-FD-#	NA	FIDUCIAL	NA		FIDUCIAL
287	1	FD1	MEC-MH-#	NA	 Mounting  Hole 	NA		 Mounting  Hole 
288	1	MH1	MEC-MH-#	NA	 Mounting  Hole 	NA		 Mounting  Hole 
289	1	MH2	MEC-MH-#	NA	 Mounting  Hole 	NA		 Mounting  Hole 
290	1	MH3	MEC-MH-#	NA	 Mounting  Hole 	NA		 Mounting  Hole 
291	1	MH7	MEC-MH-#	NA	 Mounting  Hole 	NA		 Mounting  Hole 
292	1	24V	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
293	1	6P5	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
294	1	ESC1_RX+(1)	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
295	1	ESC1_RX-(1)	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
296	1	ESC1_TX+(1)	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
297	1	ESC1_TX-(1)	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
298	1	ESC2_RX+(1)	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
299	1	ESC2_RX-(1)	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
300	1	ESC2_TX+(1)	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
301	1	ESC2_TX-(1)	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
302	1	LA_TP1	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
303	1	LA_TP2	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
304	1	LA_TP3	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
305	1	LA_TP4	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
306	1	LA_TP5	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
307	1	LA_TP6	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
308	1	LA_TP7	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
309	1	LA_TP8	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
310	1	LA_TP9	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
311	1	LA_TP10	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
312	1	LA_TP11	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
313	1	LA_TP12	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
314	1	LA_TP13	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
315	1	MDO0	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
316	1	MPC3P3V	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
317	1	MPC5P0V	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
318	1	OPT1P5	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
319	1	SPIB_MISO	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
320	1	SPIB_MOSI	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
321	1	SPIB_SCK	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
322	1	SPIB_SEL	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
323	1	SPID_MISO1	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
324	1	SPID_MOSI1	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
325	1	SPID_SCK1	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
326	1	SPID_SEL1	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
327	1	TP1_CONN	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
328	1	TP1_GPIO	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
329	1	TP2_CONN	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
330	1	TP2_GPIO1	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
331	1	TP3_CONN	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
332	1	TP4_CONN	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
333	1	TP_RXD	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
334	1	TP_TXD	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
335	1	VDD1P5	MEC-TPD-#	NA	 TEST  PAD 	NA		TEST-PAD
336	1	Y2	OSC-4-SMD-ASDMB-8.000MHZ-LY-T	 ABRACON  COPERATION 	OSC,MEM,8.000MHZ,SMD	ASDMB-8.000MHZ-LY-T		8MHZ
337	1	R5	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
338	1	R6	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
339	1	R7	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
340	1	R59	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
341	1	R83	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
342	1	R99	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
343	1	R100	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
344	1	R115	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
345	1	R121	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
346	1	R122	RES-0E-R0603-RC0603JR-070RL	YAGEO	RESISTOR,0E,0.1,-,R0603	RC0603JR-070RL		0E
347	1	R2	RES-0E-R1210-CRCW12100000Z0EA	VISHAY	RESISTOR,0E,0.5,-,R1210	CRCW12100000Z0EA		0E
348	1	R88	RES-0E-R1210-CRCW12100000Z0EA	VISHAY	RESISTOR,0E,0.5,-,R1210	CRCW12100000Z0EA		0E
349	1	R89	RES-0E-R1210-CRCW12100000Z0EA	VISHAY	RESISTOR,0E,0.5,-,R1210	CRCW12100000Z0EA		0E
350	1	R1	RES-1.21E-R2512-SR733ATTE1R21F	 KOA  SPEER 	 RESISTOR,CURRENT  SENSE,1.21E,1W  1%,R2512 	SR733ATTE1R21F		1.21E
351	1	R125	RES-10.2K-R0805-RC0805FR-0710K2L	YAGEO	RESISTOR,10.2K,0.125,1%,R0805	RC0805FR-0710K2L		10.2K
352	1	R8	RES-100E-R0603-RC0603FR-07100RL	YAGEO	RESISTOR,100E,0.1,1%,R0603	RC0603FR-07100RL		100E
353	1	R74	RES-100E-R0603-RC0603FR-07100RL	YAGEO	RESISTOR,100E,0.1,1%,R0603	RC0603FR-07100RL		100E
354	1	R75	RES-100E-R0603-RC0603FR-07100RL	YAGEO	RESISTOR,100E,0.1,1%,R0603	RC0603FR-07100RL		100E
355	1	R91	RES-100E-R0603-RC0603FR-07100RL	YAGEO	RESISTOR,100E,0.1,1%,R0603	RC0603FR-07100RL		100E
356	1	R92	RES-100E-R0603-RC0603FR-07100RL	YAGEO	RESISTOR,100E,0.1,1%,R0603	RC0603FR-07100RL		100E
357	1	R138	RES-100E-R0603-RC0603FR-07100RL	YAGEO	RESISTOR,100E,0.1,1%,R0603	RC0603FR-07100RL		100E
358	1	R140	RES-100E-R0603-RC0603FR-07100RL	YAGEO	RESISTOR,100E,0.1,1%,R0603	RC0603FR-07100RL		100E
359	1	R129	RES-100K-R0805-RC0805FR-07100KL	YAGEO	RESISTOR,100K,0.125,1%,R0805	RC0805FR-07100KL		100K
360	1	R76	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
361	1	R77	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
362	1	R78	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
363	1	R79	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
364	1	R81	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
365	1	R82	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
366	1	R84	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
367	1	R85	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
368	1	R90	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
369	1	R113	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
370	1	R130	RES-10K-R0603-RC0603FR-0710KL	YAGEO	RESISTOR,10K,0.1,1%,R0603	RC0603FR-0710KL		10K
371	1	R94	RES-10M-R0805-RK73B2ATTD106J	 KOA  SPEER 	RESISTOR,10M,0.125,5%,R0805	RK73B2ATTD106J		10M
372	1	R28	RES-11K-R0603-RC0603FR-0711KL	YAGEO	RESISTOR,11K,0.1,1%,R0603	RC0603FR-0711KL		11K
373	1	R30	RES-11K-R0603-RC0603FR-0711KL	YAGEO	RESISTOR,11K,0.1,1%,R0603	RC0603FR-0711KL		11K
374	1	R131	RES-120E-R0603-RC0603FR-07120RL	YAGEO	RESISTOR,120E,0.1,1%,R0603	RC0603FR-07120RL		120E
375	1	R132	RES-120E-R0603-RC0603FR-07120RL	YAGEO	RESISTOR,120E,0.1,1%,R0603	RC0603FR-07120RL		120E
376	1	R13	RES-18K-R0603-RC0603FR-0718KL	YAGEO	RESISTOR,18K,0.1,1%,R0603	RC0603FR-0718KL		18K
377	1	R48	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
378	1	R63	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
379	1	R93	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
380	1	R95	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
381	1	R96	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
382	1	R97	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
383	1	R98	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
384	1	R106	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
385	1	R107	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
386	1	R108	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
387	1	R109	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
388	1	R110	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
389	1	R111	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
390	1	R119	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
391	1	R120	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
392	1	R123	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
393	1	R124	RES-1K-R0603-RC0603FR-071KL	YAGEO	RESISTOR,1K,0.1,1%,R0603	RC0603FR-071KL		1K
394	1	R14	RES-24K-R0603-RC0603FR-0724KL	YAGEO	RESISTOR,24K,0.1,1%,R0603	RC0603FR-0724KL		24K
395	1	R127	RES-29.4K-R0805-RC0805FR-0729K4L	YAGEO	RESISTOR,29.4K,0.125,1%,R0805	RC0805FR-0729K4L		29.4K
396	1	R126	RES-3.24K-R0805-RC0805FR-073K24L	YAGEO	RESISTOR,3.24K,0.125,1%,R0805	RC0805FR-073K24L		3.24K
397	1	R80	RES-300E-R0603-RC0603FR-07300RL	YAGEO	RESISTOR,300E,0.1,1%,R0603	RC0603FR-07300RL		300E
398	1	R128	RES-332K-R0805-RC0805FR-07332KL	YAGEO	RESISTOR,332K,0.125,1%,R0805	RC0805FR-07332KL		332K
399	1	R101	RES-33E-R1506-YC248-JR-0733RL	YAGEO	 RESISTOR,ARRAY,33E,5%,8  RES,R1506 	YC248-JR-0733RL		33E
400	1	R102	RES-33E-R1506-YC248-JR-0733RL	YAGEO	 RESISTOR,ARRAY,33E,5%,8  RES,R1506 	YC248-JR-0733RL		33E
401	1	R103	RES-33E-R1506-YC248-JR-0733RL	YAGEO	 RESISTOR,ARRAY,33E,5%,8  RES,R1506 	YC248-JR-0733RL		33E
402	1	R104	RES-33E-R1506-YC248-JR-0733RL	YAGEO	 RESISTOR,ARRAY,33E,5%,8  RES,R1506 	YC248-JR-0733RL		33E
403	1	R105	RES-33E-R1506-YC248-JR-0733RL	YAGEO	 RESISTOR,ARRAY,33E,5%,8  RES,R1506 	YC248-JR-0733RL		33E
